PERMNO,date,TICKER,COMNAM,PRC,CFACPR
61241,20190102,AMD,ADVANCED MICRO DEVICES INC,18.83000,1
61241,20190103,AMD,ADVANCED MICRO DEVICES INC,17.05000,1
61241,20190104,AMD,ADVANCED MICRO DEVICES INC,19.00000,1
61241,20190107,AMD,ADVANCED MICRO DEVICES INC,20.57000,1
61241,20190108,AMD,ADVANCED MICRO DEVICES INC,20.75000,1
61241,20190109,AMD,ADVANCED MICRO DEVICES INC,20.19000,1
61241,20190110,AMD,ADVANCED MICRO DEVICES INC,19.74000,1
61241,20190111,AMD,ADVANCED MICRO DEVICES INC,20.27000,1
61241,20190114,AMD,ADVANCED MICRO DEVICES INC,20.23000,1
61241,20190115,AMD,ADVANCED MICRO DEVICES INC,20.38000,1
61241,20190116,AMD,ADVANCED MICRO DEVICES INC,19.73000,1
61241,20190117,AMD,ADVANCED MICRO DEVICES INC,20.25000,1
61241,20190118,AMD,ADVANCED MICRO DEVICES INC,20.77000,1
61241,20190122,AMD,ADVANCED MICRO DEVICES INC,19.76000,1
61241,20190123,AMD,ADVANCED MICRO DEVICES INC,19.80000,1
61241,20190124,AMD,ADVANCED MICRO DEVICES INC,20.85000,1
61241,20190125,AMD,ADVANCED MICRO DEVICES INC,21.93000,1
61241,20190128,AMD,ADVANCED MICRO DEVICES INC,20.18000,1
61241,20190129,AMD,ADVANCED MICRO DEVICES INC,19.25000,1
61241,20190130,AMD,ADVANCED MICRO DEVICES INC,23.09000,1
61241,20190131,AMD,ADVANCED MICRO DEVICES INC,24.41000,1
61241,20190201,AMD,ADVANCED MICRO DEVICES INC,24.51000,1
61241,20190204,AMD,ADVANCED MICRO DEVICES INC,24.13000,1
61241,20190205,AMD,ADVANCED MICRO DEVICES INC,23.31000,1
61241,20190206,AMD,ADVANCED MICRO DEVICES INC,23.26000,1
61241,20190207,AMD,ADVANCED MICRO DEVICES INC,22.67000,1
61241,20190208,AMD,ADVANCED MICRO DEVICES INC,23.05000,1
61241,20190211,AMD,ADVANCED MICRO DEVICES INC,22.96000,1
61241,20190212,AMD,ADVANCED MICRO DEVICES INC,22.82000,1
61241,20190213,AMD,ADVANCED MICRO DEVICES INC,22.85000,1
61241,20190214,AMD,ADVANCED MICRO DEVICES INC,23.13000,1
61241,20190215,AMD,ADVANCED MICRO DEVICES INC,23.68000,1
61241,20190219,AMD,ADVANCED MICRO DEVICES INC,23.95000,1
61241,20190220,AMD,ADVANCED MICRO DEVICES INC,23.95000,1
61241,20190221,AMD,ADVANCED MICRO DEVICES INC,23.92000,1
61241,20190222,AMD,ADVANCED MICRO DEVICES INC,24.36000,1
61241,20190225,AMD,ADVANCED MICRO DEVICES INC,24.71000,1
61241,20190226,AMD,ADVANCED MICRO DEVICES INC,24.21000,1
61241,20190227,AMD,ADVANCED MICRO DEVICES INC,23.48000,1
61241,20190228,AMD,ADVANCED MICRO DEVICES INC,23.53000,1
61241,20190301,AMD,ADVANCED MICRO DEVICES INC,23.68000,1
61241,20190304,AMD,ADVANCED MICRO DEVICES INC,23.37000,1
61241,20190305,AMD,ADVANCED MICRO DEVICES INC,23.50000,1
61241,20190306,AMD,ADVANCED MICRO DEVICES INC,22.41000,1
61241,20190307,AMD,ADVANCED MICRO DEVICES INC,22.08000,1
61241,20190308,AMD,ADVANCED MICRO DEVICES INC,22.01000,1
61241,20190311,AMD,ADVANCED MICRO DEVICES INC,22.96000,1
61241,20190312,AMD,ADVANCED MICRO DEVICES INC,23.49000,1
61241,20190313,AMD,ADVANCED MICRO DEVICES INC,23.38000,1
61241,20190314,AMD,ADVANCED MICRO DEVICES INC,22.82000,1
61241,20190315,AMD,ADVANCED MICRO DEVICES INC,23.29000,1
61241,20190318,AMD,ADVANCED MICRO DEVICES INC,23.25000,1
61241,20190319,AMD,ADVANCED MICRO DEVICES INC,26.00000,1
61241,20190320,AMD,ADVANCED MICRO DEVICES INC,25.70000,1
61241,20190321,AMD,ADVANCED MICRO DEVICES INC,27.89000,1
61241,20190322,AMD,ADVANCED MICRO DEVICES INC,26.37000,1
61241,20190325,AMD,ADVANCED MICRO DEVICES INC,25.97000,1
61241,20190326,AMD,ADVANCED MICRO DEVICES INC,25.69000,1
61241,20190327,AMD,ADVANCED MICRO DEVICES INC,24.89000,1
61241,20190328,AMD,ADVANCED MICRO DEVICES INC,25.06000,1
61241,20190329,AMD,ADVANCED MICRO DEVICES INC,25.52000,1
61241,20190401,AMD,ADVANCED MICRO DEVICES INC,26.36000,1
61241,20190402,AMD,ADVANCED MICRO DEVICES INC,26.75000,1
61241,20190403,AMD,ADVANCED MICRO DEVICES INC,29.02000,1
61241,20190404,AMD,ADVANCED MICRO DEVICES INC,29.09000,1
61241,20190405,AMD,ADVANCED MICRO DEVICES INC,28.98000,1
61241,20190408,AMD,ADVANCED MICRO DEVICES INC,28.53000,1
61241,20190409,AMD,ADVANCED MICRO DEVICES INC,27.24000,1
61241,20190410,AMD,ADVANCED MICRO DEVICES INC,27.83000,1
61241,20190411,AMD,ADVANCED MICRO DEVICES INC,27.79000,1
61241,20190412,AMD,ADVANCED MICRO DEVICES INC,27.85000,1
61241,20190415,AMD,ADVANCED MICRO DEVICES INC,27.33000,1
